id,degree,"substring(levs,3)","substring(class,3)"
3572,教育學系,博士,日
3573,教育學系,碩士,日
3575,教育學系,碩士,職
3576,教師專業(發展)研究所,碩士,日
3577,語文教育學系,博士,日
3578,語文教育學系,碩士,日
3580,語文教育學系,碩士,職
3581,(自然)科學教育(與應用),碩士,日
3583,(自然)科學教育(與應用),碩士,職
3584,數學教育學系,碩士,日
3586,數學教育學系,碩士,職
3587,體育學系,碩士,日
3589,體育學系,碩士,職
3590,幼兒教育學系,碩士,日
3592,幼兒教育學系,碩士,職
3593,特殊教育學系,碩士,日
3595,特殊教育學系,碩士,職
3596,高等教育經營管理學位學程,碩士,日
3597,教育資訊與測驗統計研究所,博士,日
3598,教育資訊與測驗統計研究所,碩士,日
3599,教育資訊與測驗統計研究所,碩士,職
3600,(應用)美術學系,碩士,日
3602,(應用)美術學系,碩士,職
3603,音樂學系,碩士,日
3607,文化創意產業設計與營運學系,碩士,日
3609,諮商(與)(應用)心理學系,碩士,日
3611,諮商(與)(應用)心理學系,碩士,職
3612,區域與社會發展學系,碩士,日
3614,區域與社會發展學系,碩士,職
3616,國際(經營)(專業)管理學位學程(含IMBA),碩士,日
3617,國際(經營)(專業)管理學位學程(含IMBA),碩士,職
3618,數位內容(科技)(與)(管理)學系,碩士,日
3620,數位內容(科技)(與)(管理)學系,碩士,職
3621,資訊工程學系,碩士,日
3623,(永續)觀光暨遊憩管理系,碩士,日
